Project Proponent,Agent,"Significantly Involved Person(s), Description of involvement",Project Name,Project ID,Method,Method URL,Method Type,Estimation or measurement approach or model,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Supplementary project information,Model start date(s),"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,KACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,NKACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Enforceable undertaking URLs related to this project,Enforceable undertakings related to this project,Notes,Project revoked
Australian Natural Capital Pty Ltd,n/a,n/a,Tori Soil Carbon Project (Revoked),ERF188064,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both",n/a,27/11/2023,27/11/2023,26/11/2048,Queensland,4494,"30/CPCVN437
 
The project is in the Goondiwindi local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188064.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,27/05/2025 This project has been revoked under section 30 of the CFI Rule.,Yes
Peter Quinn,Elders Rural Services,n/a,Essex MMV Soil Carbon Project,ERF188120,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,This project increases carbon in soil in the agricultural system by using legume species in cropping or pasture systems and re-establishing or rejuvenating a pasture by seeding or pasture cropping.,Re-establishing or rejuvenating a pasture by seeding or pasture cropping; Using legume species in cropping or pasture systems,n/a,20/12/2024,20/12/2024,19/12/2049,Queensland,4746,"6/CP148
 
The project is in the Isaac local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188120.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Greenwald Investments Pty Ltd ATF Killara Family Trust,n/a,n/a,Nambrok Soil Carbon Project,ERF188132,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency.,Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency,n/a,18/03/2024,18/03/2024,17/03/2049,Victoria,3847,"1/LP16486/6887/227, 1/PS704995X/10055/809, 1/TP109912/10060/642, 1/TP139054N/9797/163, 1/TP757622D/6887/228, 1/TP853342/9797/162, 1/TP89554/10054/810, 2/PS016486/6887/231, 2/TP853342/9797/162
 
The project is in the Wellington local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188132.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Lachlan Cook,n/a,n/a,Bonnie Doon land restoration project,ERF188159,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,n/a,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,20/11/2023,1/07/2024,30/06/2049,Victoria,3720,"2/PS525442P/10832/824
 
The project is in the Mansfield local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188159.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
WILLIAM DAVID DREW,n/a,n/a,"Drew Property Pilot Blue Carbon Site, SA",ERF188186,Carbon Credits (Carbon Farming Initiative-Tidal Restoration of Blue Carbon Ecosystems) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00046,Vegetation,n/a,This project removes or modifies one or more tidal restriction mechanisms to introduce tidal flows.,Removing or modifying one or more tidal restriction mechanisms,n/a,31/07/2024,31/07/2024,30/07/2049,South Australia,5501,"102/130510, 428/140400
 
The project is in the Adelaide Plains local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188186.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,Yes,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
The Happy Turtle Pty Ltd as Trustee for Happy Turtle Super Fund,n/a,n/a,Apple Berry Hill Plantation,ERF188191,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,Establishment of a new plantation forest,n/a,16/01/2024,24/02/2025,23/02/2050,New South Wales,2429,"129/DP43084
 
The project is in the Mid-Coast local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188191.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 1,ERF188196,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover, or improve soil health, or both, and using legume species in cropping or pasture systems.",Using legume species in cropping or pasture systems,n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188196.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 2,ERF188199,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil; Using legume species in cropping or pasture systems",n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188199.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 3,ERF188201,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil; Using legume species in cropping or pasture systems",n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188201.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 4,ERF188202,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil; Using legume species in cropping or pasture systems",n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188202.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 5,ERF188206,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil; Using legume species in cropping or pasture systems",n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188206.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 6,ERF188208,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil; Using legume species in cropping or pasture systems",n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188208.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 7,ERF188209,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil; Using legume species in cropping or pasture systems",n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188209.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 8,ERF188211,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil; Using legume species in cropping or pasture systems",n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188211.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 9,ERF188215,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil; Using legume species in cropping or pasture systems",n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188215.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 10,ERF188217,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil; Using legume species in cropping or pasture systems",n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188217.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 11,ERF188218,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil; Using legume species in cropping or pasture systems",n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188218.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Beddall Carbon Project 12,ERF188229,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both, and using legume species in cropping or pasture systems.","Altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil; Using legume species in cropping or pasture systems",n/a,16/09/2025,16/09/2025,15/09/2050,Queensland,4718,"21/SP289421
 
The project is in the Banana local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188229.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Anthony Leighton Ruse,CARBON WEST PTY LTD,n/a,Red Gully Farm Revegetation Carbon Project,ERF188243,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00118,Vegetation,n/a,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,22/12/2023,1/07/2024,30/06/2049,Western Australia,6503,"5448/D206481/1868/480
 
The project is in the Gingin local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188243.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Corporate Carbon Advisory Pty Ltd,n/a,n/a,Glencoe Aggregation Landscape Restoration Project,ERF188277,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,n/a,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing",Livestock,28/09/2023,28/09/2023,27/09/2048,Queensland,4490,"2/SP299103, 20/W5342, 21/WN10, 23/WN102, 3/SP228356
 
The project is in the Paroo local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188277.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
LANDARI PTY LTD,n/a,n/a,Landari Bothwell 2023,ERF188295,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by avoiding conversion of an existing or recently harvested plantation forest.,Avoided conversion of a plantation to non-forested land by continuing plantation,n/a,29/11/2024,29/11/2024,28/11/2049,Tasmania,"7027, 7030","101936/1, 126437/2, 204480/1, 210175/1, 210960/1, 210993/1, 230341/1
 
The project is in the Central Highlands (Tas.), Southern Midlands local government areas.",https://cer.gov.au/sites/default/files/projectFiles/ERF188295.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Corporate Carbon Advisory Pty Ltd,n/a,n/a,Turn Turn and Wittenburra Regeneration Project,ERF188320,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,FullCAM 2020,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth; Management of the timing, and the extent, of grazing","Livestock; Mechanical or chemical destruction, or suppression, of regrowth",27/09/2023,27/09/2023,26/09/2048,Queensland,4491,"2/CPNL8, 3/CPNL4, 4/CPNL8, 5/CPNL22, 6/CPNL2
 
The project is in the Paroo local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188320.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF188320_CEA.zip,n/a,1/05/2019,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,13/10/2025,12/10/2050,n/a,n/a,2209,2209,0,0,0,0,0,0,0,0,0,0,0,0,0,2209,Corporate Carbon Advisory Pty Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Roy Hill Holdings Pty Ltd,n/a,n/a,Winderland 2024,ERF188334,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,Establishment of a new plantation forest,n/a,21/03/2024,21/03/2024,20/03/2049,Western Australia,6255,"3233/D129371, 3234/D129372, 3563/D129364, 3665/D129363, 800/D302693, 801/D302693
 
The project is in the Bridgetown-Greenbushes local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188334.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Pastoral Partners Australia Trusco Pty Limited as Trustee for Pastoral Partners Australia Trust,n/a,n/a,Leawah NFMR Project,ERF188442,Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013 (Compilation No. 2),https://www.legislation.gov.au/Details/F2018C00119,Vegetation,n/a,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was subject to at least one comprehensive clearing for pastoral use.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth; Management of the timing, and the extent, of grazing","Livestock; Mechanical or chemical destruction, or suppression, of regrowth",12/03/2024,31/03/2024,30/03/2049,Queensland,4488,"2/BLM932
 
The project is in the Balonne local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF188442.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
