asx_code,name,market_cap_aud,index_membership,asrs_group
ANG,Austin Engineering Ltd,109044403.0,ASX 300+,Group 3
ANO,Advance Zinctek Ltd,50116886.0,ASX 300+,Group 3
ANR,Anatara Lifesciences Ltd,3159508.0,ASX 300+,Unclassified
ANX,ANAX Metals Ltd,53222520.0,ASX 300+,Group 3
AOA,Ausmon Resources Ltd,2028920.0,ASX 300+,Unclassified
AOF,Australian Unity Office Fund,59999955.0,ASX 300+,Group 3
AOK,Australian Oil Company Ltd,5679985.0,ASX 300+,Unclassified
AON,Apollo Minerals Ltd,77762435.0,ASX 300+,Group 3
AOV,Amotiv Ltd,808453770.0,ASX 300+,Group 2
APC,APC Minerals Ltd,8075385.0,ASX 300+,Unclassified
APL,Associate Global Partners Ltd,17262728.0,ASX 300+,Unclassified
APW,Aims Property Securities Fund,153145646.0,ASX 300+,Group 3
APZ,Aspen Group,1067750881.0,ASX 300+,Group 2
AQC,Australian Pacific Coal Ltd,4553039.0,ASX 300+,Unclassified
AQD,Ausquest Ltd,75035384.0,ASX 300+,Group 3
AQI,Alicanto Minerals Ltd,277319956.0,ASX 300+,Group 3
AQLT,Betashares Australian Quality ETF,1210616154.0,ASX 300+,Group 2
AQN,Aquirian Ltd,53477079.0,ASX 300+,Group 3
AQTY,Vaneck MSCI Australian Quality Plus ETF,30297093.0,ASX 300+,Unclassified
AQX,Alice QUEEN Ltd,15398119.0,ASX 300+,Unclassified
AQZ,Alliance Aviation Services Ltd,82141032.0,ASX 300+,Group 3
AR1,Austral Resources Australia Ltd,209582190.0,ASX 300+,Group 3
AR3,Australian Rare EARTHS Ltd,26832099.0,ASX 300+,Unclassified
AR9,Archtis Ltd,44431305.0,ASX 300+,Unclassified
ARA,Ariadne Australia Ltd,92794571.0,ASX 300+,Group 3
ARC,ARC Funds Ltd,5235349.0,ASX 300+,Unclassified
ARD,Argent Minerals Ltd,39134541.0,ASX 300+,Unclassified
ARI,Arika Resources Ltd,29607602.0,ASX 300+,Unclassified
DGCE,Dimensional Global Core Equity Trust Unhedged - Active ETF,5320000000.0,ASX 300+,Group 1
V1AC,Vinva Global Alpha Fund - Active ETF,4660000000.0,ASX 300+,Group 1
BGBL,Betashares Global Shares ETF,4360000000.0,ASX 300+,Group 1
VBND,Vanguard Global Aggregate Bond INDEX (Hedged) ETF,4240000000.0,ASX 300+,Group 1
VAU,Vault Minerals Ltd,4150000000.0,ASX 300+,Group 1
DFGH,Dimensional Global Core Equity Trust Aud Hedged - Active ETF,4140000000.0,ASX 300+,Group 1
IHVV,iShares S&P 500 Aud Hedged ETF,3910000000.0,ASX 300+,Group 1
BFL,BSP Financial Group Ltd,3850000000.0,ASX 300+,Group 1
VDHG,Vanguard Diversified High Growth INDEX ETF,3850000000.0,ASX 300+,Group 1
PDI,Predictive Discovery Ltd,3820000000.0,ASX 300+,Group 1
SUBD,Vaneck Australian Subordinated Debt ETF,3690000000.0,ASX 300+,Group 1
XYZ,"Block, Inc",3620000000.0,ASX 300+,Group 1
WAF,West African Resources Ltd,3430000000.0,ASX 300+,Group 1
CSC,Capstone Copper Corp,2860000000.0,ASX 300+,Group 1
L1G,L1 Group Ltd,2620000000.0,ASX 300+,Group 1
HDN,Homeco Daily Needs REIT,2580000000.0,ASX 300+,Group 1
HGBL,Betashares Global Shares Currency Hedged ETF,2580000000.0,ASX 300+,Group 1
QHAL,Vaneck MSCI International Quality (Aud Hedged) ETF,2500000000.0,ASX 300+,Group 1
SMR,Stanmore Resources Ltd,2490000000.0,ASX 300+,Group 1
NABPH,National Australia Bank Ltd,2440000000.0,ASX 300+,Group 1
OBM,Ora Banda Mining Ltd,2330000000.0,ASX 300+,Group 1
RSG,Resolute Mining Ltd,2300000000.0,ASX 300+,Group 1
RCAP,Resolution Cap Global Prop Sec Fund - Active ETF,2150000000.0,ASX 300+,Group 1
TEA,Tasmea Ltd,2140000000.0,ASX 300+,Group 1
GNP,Genusplus Group Ltd,2110000000.0,ASX 300+,Group 1
IFRA,Vaneck Ftse Global Infrastructure (Aud Hedged) ETF,2110000000.0,ASX 300+,Group 1
VGN,Virgin Australia Holdings Ltd,2080000000.0,ASX 300+,Group 1
NABPI,National Australia Bank Ltd,2080000000.0,ASX 300+,Group 1
QPON,Betashares Australian Bank Senior Floating Rate Bond ETF,2060000000.0,ASX 300+,Group 1
MAH,Macmahon Holdings Ltd,2000000000.0,ASX 300+,Group 1
NXG,Nexgen Energy (Canada) Ltd,2000000000.0,ASX 300+,Group 1
IMD,IMDEX Ltd,2000000000.0,ASX 300+,Group 1
BGL,Bellevue Gold Ltd,1990000000.0,ASX 300+,Group 2
SRL,Sunrise Energy Metals Ltd,1980000000.0,ASX 300+,Group 2
FRW,Freightways Group Ltd,1970000000.0,ASX 300+,Group 2
RDX,REDOX Ltd,1930000000.0,ASX 300+,Group 2
VGE,Vanguard Ftse Emerging Markets Shares ETF,1910000000.0,ASX 300+,Group 2
GYG,Guzman Y GOMEZ Ltd,1900000000.0,ASX 300+,Group 2
CBO,Cobram Estate Olives Ltd,1900000000.0,ASX 300+,Group 2
NABPF,National Australia Bank Ltd,1890000000.0,ASX 300+,Group 2
RYM,Ryman Healthcare Ltd,1890000000.0,ASX 300+,Group 2
SLC,Superloop Ltd,1880000000.0,ASX 300+,Group 2
WBCPM,Westpac Banking Corporation,1880000000.0,ASX 300+,Group 2
WBCPK,Westpac Banking Corporation,1820000000.0,ASX 300+,Group 2
CRED,Betashares Australian Investment Grade Corporate Bond ETF,1810000000.0,ASX 300+,Group 2
CBAPL,Commonwealth Bank of Australia,1800000000.0,ASX 300+,Group 2
CBAPK,Commonwealth Bank of Australia,1800000000.0,ASX 300+,Group 2
IPX,Iperionx Ltd,1780000000.0,ASX 300+,Group 2
WBCPJ,Westpac Banking Corporation,1770000000.0,ASX 300+,Group 2
ELS,Elsight Ltd,1760000000.0,ASX 300+,Group 2
GLF,Gemlife Communities Group,1750000000.0,ASX 300+,Group 2
MI6,Minerals 260 Ltd,1740000000.0,ASX 300+,Group 2
WBT,Weebit Nano Ltd,1720000000.0,ASX 300+,Group 2
FANG,Global X Fang+ ETF,1710000000.0,ASX 300+,Group 2
NEU,Neuren Pharmaceuticals Ltd,1700000000.0,ASX 300+,Group 2
ASB,Austal Ltd,1690000000.0,ASX 300+,Group 2
IAA,iShares Asia 50 ETF,1680000000.0,ASX 300+,Group 2
MAD,Mader Group Ltd,1670000000.0,ASX 300+,Group 2
CBAPI,Commonwealth Bank of Australia,1670000000.0,ASX 300+,Group 2
IWLD,iShares Core MSCI World Ex Australia Esg ETF,1660000000.0,ASX 300+,Group 2
GLIN,iShares Ftse GBL Infrastructure (Aud Hedged) ETF,1640000000.0,ASX 300+,Group 2
CBAPM,Commonwealth Bank of Australia,1620000000.0,ASX 300+,Group 2
GDG,Generation Development Group Ltd,1620000000.0,ASX 300+,Group 2
SLX,SILEX Systems Ltd,1610000000.0,ASX 300+,Group 2
JDO,Judo Capital Holdings Ltd,1610000000.0,ASX 300+,Group 2
QSML,Vaneck MSCI Intl Small Companies Quality ETF,1600000000.0,ASX 300+,Group 2
WBCPL,Westpac Banking Corporation,1580000000.0,ASX 300+,Group 2
VUL,Vulcan Energy Resources Ltd,1550000000.0,ASX 300+,Group 2
MQGPG,Macquarie Group Ltd,1540000000.0,ASX 300+,Group 2
ASIA,Betashares Asia Technology Tigers ETF,1530000000.0,ASX 300+,Group 2
HACK,Betashares Global Cybersecurity ETF,1530000000.0,ASX 300+,Group 2
SSM,Service Stream Ltd,1520000000.0,ASX 300+,Group 2
VESG,Vanguard Ethically Conscious International Shares INDEX ETF,1480000000.0,ASX 300+,Group 2
IJP,iShares MSCI Japan ETF,1470000000.0,ASX 300+,Group 2
FFM,Firefly Metals Ltd,1470000000.0,ASX 300+,Group 2
VDGR,Vanguard Diversified Growth INDEX ETF,1470000000.0,ASX 300+,Group 2
ETPMAG,Global X Metal Securities Australia Ltd,1470000000.0,ASX 300+,Group 2
LIN,Lindian Resources Ltd,1460000000.0,ASX 300+,Group 2
PGF,PM Capital Global Opportunities Fund Ltd,1440000000.0,ASX 300+,Group 2
DYL,Deep Yellow Ltd,1420000000.0,ASX 300+,Group 2
STN,Saturn Metals Ltd,284340000.0,ASX 300+,Group 3
TRE,Toubani Resources Ltd,283040000.0,ASX 300+,Group 3
MVB,Vaneck Australian Banks ETF,283000000.0,ASX 300+,Group 3
GHIF,Ausbil GBL Essential Infra Fund (HDG) - Active ETF,282940000.0,ASX 300+,Group 3
GHLD,Global X Gold Bullion (Currency Hedged) ETF,281520000.0,ASX 300+,Group 3
DIFF,Perpetual Diversified Income Active ETF,281330000.0,ASX 300+,Group 3
AS1,Asara Resources Ltd,280870000.0,ASX 300+,Group 3
SVL,Silver Mines Ltd,280740000.0,ASX 300+,Group 3
HUM,Humm Group Ltd,280230000.0,ASX 300+,Group 3
HVST,Betashares Australian Dividend Harvester Active ETF,279230000.0,ASX 300+,Group 3
MRE,Metrics Real Estate Multi-Strategy Fund,277090000.0,ASX 300+,Group 3
RHCPA,Ramsay Health Care Ltd,276640000.0,ASX 300+,Group 3
QHSM,Vaneck MSCI Intl SML Comp Quality (Aud Hedged) ETF,276440000.0,ASX 300+,Group 3
DFND,Vaneck Global Defence ETF,275260000.0,ASX 300+,Group 3
MVF,Monash Ivf Group Ltd,272740000.0,ASX 300+,Group 3
KOA,The Koala Company Ltd,271810000.0,ASX 300+,Group 3
RGB,Russell Investments Australian Government Bond ETF,269720000.0,ASX 300+,Group 3
NTU,Northern Minerals Ltd,267240000.0,ASX 300+,Group 3
SYR,Syrah Resources Ltd,267020000.0,ASX 300+,Group 3
FUEL,Betashares Global Energy Comp Currency Hedged ETF,265680000.0,ASX 300+,Group 3
BOQPF,Bank of Queensland Ltd,265200000.0,ASX 300+,Group 3
SVR,Solvar Ltd,264410000.0,ASX 300+,Group 3
GXAI,Global X Artificial Intelligence ETF,263970000.0,ASX 300+,Group 3
STK,Strickland Metals Ltd,263570000.0,ASX 300+,Group 3
GVF,Staude Capital Global Value Fund Ltd,263530000.0,ASX 300+,Group 3
XRF,XRF Scientific Ltd,261760000.0,ASX 300+,Group 3
UOS,United Overseas Australia Ltd,261620000.0,ASX 300+,Group 3
LF1,La Trobe Private Credit Fund,261450000.0,ASX 300+,Group 3
FTI,Fortifai Ltd,260760000.0,ASX 300+,Group 3
HQUS,Betashares S&P 500 EQUAL Weight Currency Hedged ETF,258020000.0,ASX 300+,Group 3
EGH,Eureka Group Holdings Ltd,257340000.0,ASX 300+,Group 3
PGC,Paragon Care Ltd,256570000.0,ASX 300+,Group 3
GG8,Gorilla Gold Mines Ltd,256430000.0,ASX 300+,Group 3
GCQF,GCQ Global Equities Complex ETF,253880000.0,ASX 300+,Group 3
WTM,Waratah Minerals Ltd,251990000.0,ASX 300+,Group 3
SLS,Solstice Minerals Ltd,250490000.0,ASX 300+,Group 3
MCM,MC Mining Ltd,249250000.0,ASX 300+,Group 3
TGM,Theta Gold Mines Ltd,248700000.0,ASX 300+,Group 3
MPW,Metal Powder Works Ltd,248640000.0,ASX 300+,Group 3
A11,Atlantic Lithium Ltd,248470000.0,ASX 300+,Group 3
SFC,Schaffer Corporation Ltd,245720000.0,ASX 300+,Group 3
SK1,Skinkandy Ltd,243430000.0,ASX 300+,Group 3
IHHY,iShares Global High Yield Bond (Aud Hedged) ETF,243430000.0,ASX 300+,Group 3
HAV,Havilah Resources Ltd,242470000.0,ASX 300+,Group 3
MCCL,Munro Climate Change Leaders Fund Active ETF,242330000.0,ASX 300+,Group 3
ESGI,Vaneck MSCI International Sustainable Equity ETF,240750000.0,ASX 300+,Group 3
PC2,PC Gold Ltd,238890000.0,ASX 300+,Group 3
KOV,Korvest Ltd,238310000.0,ASX 300+,Group 3
POL,Polymetals Resources Ltd,235230000.0,ASX 300+,Group 3
BCN,Beacon Minerals Ltd,235210000.0,ASX 300+,Group 3
NUGG,Vaneck Gold Bullion ETF,235150000.0,ASX 300+,Group 3
MRT,Maritana Minerals Ltd,234270000.0,ASX 300+,Group 3
ARMR,Betashares Global Defence ETF,234050000.0,ASX 300+,Group 3
CVC,CVC Ltd,233270000.0,ASX 300+,Group 3
PSC,Prospect Resources Ltd,232930000.0,ASX 300+,Group 3
AUE,Aurum Resources Ltd,232600000.0,ASX 300+,Group 3
ATR,Astron Ltd,232170000.0,ASX 300+,Group 3
NNWH,Nanuk New World Fund (Currency Hedged) Active ETF,230070000.0,ASX 300+,Group 3
VBTC,Vaneck Bitcoin ETF,230010000.0,ASX 300+,Group 3
BOC,Bougainville Copper Ltd,228610000.0,ASX 300+,Group 3
RIV,Rivco Australia Ltd,228260000.0,ASX 300+,Group 3
OOO,Betashares Crude Oil INDEX Currncy HDG Complex ETF,227580000.0,ASX 300+,Group 3
IMB,Intelligent Monitoring Group Ltd,227530000.0,ASX 300+,Group 3
PCX,Pengana Global Private Credit Trust,227320000.0,ASX 300+,Group 3
CAY,Canyon Resources Ltd,226830000.0,ASX 300+,Group 3
GRNV,Vaneck MSCI Australian Sustainable Equity ETF,225890000.0,ASX 300+,Group 3
MNRS,Betashares Global Gold Miners Currency Hedged ETF,225610000.0,ASX 300+,Group 3
SKY,SKY Metals Ltd,223270000.0,ASX 300+,Group 3
REP,Ram Essential Services Property Fund,222970000.0,ASX 300+,Group 3
HLO,Helloworld Travel Ltd,221790000.0,ASX 300+,Group 3
ARX,Aroa Biosurgery Ltd,221380000.0,ASX 300+,Group 3
BIS,Bisalloy Steel Group Ltd,220990000.0,ASX 300+,Group 3
CUP,Count Ltd,219710000.0,ASX 300+,Group 3
EWC,Energy World Corporation Ltd,219640000.0,ASX 300+,Group 3
CDM,Cadence Capital Ltd,218390000.0,ASX 300+,Group 3
ACE,Acusensus Ltd,218310000.0,ASX 300+,Group 3
NFNG,Nufarm Finance (NZ) Ltd,217840000.0,ASX 300+,Group 3
WAX,Wam Research Ltd,216340000.0,ASX 300+,Group 3
AAR,Astral Resources NL,216130000.0,ASX 300+,Group 3
ARR,American Rare EARTHS Ltd,214920000.0,ASX 300+,Group 3
LHGG,Lakehouse Global Growth Fund Active ETF,214590000.0,ASX 300+,Group 3
LEND,Vaneck GLBL Listed Private Credit (Aud Hedged) ETF,214070000.0,ASX 300+,Group 3
MM1,Midas Minerals Ltd,212350000.0,ASX 300+,Group 3
KGL,KGL Resources Ltd,212130000.0,ASX 300+,Group 3
WWI,West Wits Mining Ltd,210830000.0,ASX 300+,Group 3
BXN,Bioxyne Ltd,210530000.0,ASX 300+,Group 3
FEX,FENIX Resources Ltd,210360000.0,ASX 300+,Group 3
EZL,EUROZ Hartleys Group Ltd,210150000.0,ASX 300+,Group 3
CYM,Cyprium Metals Ltd,208110000.0,ASX 300+,Group 3
BM1,Ballard Mining Ltd,207310000.0,ASX 300+,Group 3
MTUM,Betashares Australian Momentum ETF,206950000.0,ASX 300+,Group 3
EGR,Ecograf Ltd,147700000.0,ASX 300+,Group 3
MPK,Many Peaks Minerals Ltd,147520000.0,ASX 300+,Group 3
RCE,Recce Pharmaceuticals Ltd,147480000.0,ASX 300+,Group 3
SND,Saunders International Ltd,146570000.0,ASX 300+,Group 3
PRG,PRL Global Ltd,145640000.0,ASX 300+,Group 3
WAA,Wam Active Ltd,145470000.0,ASX 300+,Group 3
GARP,Global X S&P World Ex Australia Garp ETF,145380000.0,ASX 300+,Group 3
DAOR,Aoris Int Fund (Class D) (Hedged) Active ETF,144750000.0,ASX 300+,Group 3
AUMF,iShares Edge MSCI Australia Multifactor ETF,143840000.0,ASX 300+,Group 3
RYD,Ryder Capital Ltd,143780000.0,ASX 300+,Group 3
BEMG,Betashares MSCI Emerging Markets Complex ETF,143290000.0,ASX 300+,Group 3
BTI,Bailador Technology Investments Ltd,141370000.0,ASX 300+,Group 3
OIL,Optiscan Imaging Ltd,140960000.0,ASX 300+,Group 3
AEM,Advanced Energy Minerals Ltd,140860000.0,ASX 300+,Group 3
BBUS,Betashares US EQY Strong Bear CCY H Complex ETF,140550000.0,ASX 300+,Group 3
PEX,Peel Mining Ltd,139960000.0,ASX 300+,Group 3
RND,Rand Mining Ltd,139350000.0,ASX 300+,Group 3
AEU,Atomic Eagle Ltd,139330000.0,ASX 300+,Group 3
BCK,Brockman Mining Ltd,139200000.0,ASX 300+,Group 3
IXI,iShares Global Consumer Staples ETF,139060000.0,ASX 300+,Group 3
SEC,Spheria Emerging Companies Ltd,139060000.0,ASX 300+,Group 3
VLS,Vita Life Sciences Ltd,138830000.0,ASX 300+,Group 3
ONE,Oneview Healthcare Plc,138470000.0,ASX 300+,Group 3
HQLT,Betashares Global Quality Leaders Currency Hedged ETF,138310000.0,ASX 300+,Group 3
RNU,Renascor Resources Ltd,137500000.0,ASX 300+,Group 3
TAM,Tanami Gold NL,137490000.0,ASX 300+,Group 3
ATOM,Global X Uranium ETF,137360000.0,ASX 300+,Group 3
LKE,Lake Resources N.L.,137170000.0,ASX 300+,Group 3
PLT,Plenti Group Ltd,136830000.0,ASX 300+,Group 3
FHNG,Global X Fang+ (Currency Hedged) ETF,136530000.0,ASX 300+,Group 3
MKR,Manuka Resources Ltd,136470000.0,ASX 300+,Group 3
DLI,Delta Lithium Ltd,136300000.0,ASX 300+,Group 3
SGI,Stealth Group Holdings Ltd,136100000.0,ASX 300+,Group 3
GL1,Global Lithium Resources Ltd,135630000.0,ASX 300+,Group 3
G50,G50 Corp Ltd,135340000.0,ASX 300+,Group 3
IVR,Investigator Silver Ltd,135280000.0,ASX 300+,Group 3
FDV,Frontier Digital Ventures Ltd,135080000.0,ASX 300+,Group 3
QGL,Quantum Graphite Ltd,134970000.0,ASX 300+,Group 3
DEV,DEVEX Resources Ltd,134920000.0,ASX 300+,Group 3
TKM,Trek Metals Ltd,134650000.0,ASX 300+,Group 3
BAOR,Aoris Int Fund (Class B) (Unhedged) Active ETF,133810000.0,ASX 300+,Group 3
ETPMPM,Global X Metal Securities Australia Ltd,133700000.0,ASX 300+,Group 3
LFSPB,Latitude Group Holdings Ltd,133300000.0,ASX 300+,Group 3
TLG,Talga Group Ltd,132840000.0,ASX 300+,Group 3
LPHD,Loftus Peak Global Disruption Hedged Active ETF,132150000.0,ASX 300+,Group 3
UTIP,Betashares Inflation Protected US TRSY Bond CH ETF,131100000.0,ASX 300+,Group 3
QFN,Betashares Australian Financials Sector ETF,131000000.0,ASX 300+,Group 3
PGL,Pilbara Gold Ltd,130880000.0,ASX 300+,Group 3
GSCF,Ausbil Global Smallcap Fund - Active ETF,130860000.0,ASX 300+,Group 3
KAU,Kaiser Reef Ltd,130140000.0,ASX 300+,Group 3
XMET,Betashares Energy Transition Metals ETF,129950000.0,ASX 300+,Group 3
MOGL,Montaka Global Fund - Active ETF,129710000.0,ASX 300+,Group 3
SOM,Somnomed Ltd,129260000.0,ASX 300+,Group 3
ENR,Encounter Resources Ltd,128650000.0,ASX 300+,Group 3
ISO,iShares S&P/ASX Small Ordinaries ETF,128200000.0,ASX 300+,Group 3
ACW,Actinogen Medical Ltd,128030000.0,ASX 300+,Group 3
LFT,Li-FT Power Ltd,127760000.0,ASX 300+,Group 3
BRI,Big River Industries Ltd,126220000.0,ASX 300+,Group 3
GPR,Geopacific Resources Ltd,125860000.0,ASX 300+,Group 3
MCGG,Munro Concentrated Global Growth Active ETF,124870000.0,ASX 300+,Group 3
CXU,Cauldron Energy Ltd,124260000.0,ASX 300+,Group 3
DTEC,Global X Defence Tech ETF,123740000.0,ASX 300+,Group 3
BRL,Bathurst Resources Ltd,123630000.0,ASX 300+,Group 3
LSX,Lion Selection Group Ltd,123190000.0,ASX 300+,Group 3
MHJ,Michael Hill International Ltd,123150000.0,ASX 300+,Group 3
GML,Gateway Mining Ltd,123110000.0,ASX 300+,Group 3
ETM,Energy Transition Minerals Ltd,123090000.0,ASX 300+,Group 3
EDU,EDU Holdings Ltd,120340000.0,ASX 300+,Group 3
LEVR,First Sentier Geared Australian Share Complex ETF,119680000.0,ASX 300+,Group 3
MEU,Marmota Ltd,119180000.0,ASX 300+,Group 3
SNC,Sandon Capital Investments Ltd,119110000.0,ASX 300+,Group 3
SRZ,Stellar Resources Ltd,118700000.0,ASX 300+,Group 3
NYR,Nyrada Inc,117770000.0,ASX 300+,Group 3
MMA,Maronan Metals Ltd,116280000.0,ASX 300+,Group 3
KLV,Klevo Rewards Ltd,115870000.0,ASX 300+,Group 3
HVLU,Vaneck MSCI International Value (Aud Hedged) ETF,115810000.0,ASX 300+,Group 3
FHE,Frontier Energy Ltd,115330000.0,ASX 300+,Group 3
V500,Vanguard S&P 500 US Shares INDEX ETF,114990000.0,ASX 300+,Group 3
GOW,Gowing Bros Ltd,114810000.0,ASX 300+,Group 3
SHJ,Shine Justice Ltd,114340000.0,ASX 300+,Group 3
EL8,Elevate Uranium Ltd,114160000.0,ASX 300+,Group 3
NZK,New Zealand King Salmon Investments Ltd,113020000.0,ASX 300+,Group 3
MLG,MLG OZ Ltd,112330000.0,ASX 300+,Group 3
NOL,Nobleoak Life Ltd,112100000.0,ASX 300+,Group 3
DZZF,Betashares Ethical Diversified High Growth ETF,111980000.0,ASX 300+,Group 3
ARL,Ardea Resources Ltd,110960000.0,ASX 300+,Group 3
CUF,Cufe Ltd,110530000.0,ASX 300+,Group 3
XX20,First Sentier Ex-20 Australian Share Active ETF,110340000.0,ASX 300+,Group 3
KMD,KMD Brands Ltd,109760000.0,ASX 300+,Group 3
AEE,Aura Energy Ltd,109720000.0,ASX 300+,Group 3
6KA,"6K Additive, Inc",109410000.0,ASX 300+,Group 3
BWN,Bhagwan Marine Ltd,109220000.0,ASX 300+,Group 3
CLU,Cluey Ltd,2501841.0,ASX 300+,Unclassified
CLV,Clover Corporation Ltd,154474390.0,ASX 300+,Group 3
CLX,Cti Logistics Ltd,157752564.0,ASX 300+,Group 3
CLZ,Classic Minerals Ltd,5509605.0,ASX 300+,Unclassified
CMA,Carma Ltd,96879165.0,ASX 300+,Group 3
CMB,Cambium Bio Ltd,11616065.0,ASX 300+,Unclassified
CMD,Cassius Mining Ltd,28122597.0,ASX 300+,Unclassified
CMG,Critical Minerals Group Ltd,9773904.0,ASX 300+,Unclassified
CML,Connected Minerals Ltd,17622605.0,ASX 300+,Unclassified
CMO,Cosmo Metals Ltd,7635397.0,ASX 300+,Unclassified
CMP,Compumedics Ltd,49940439.0,ASX 300+,Unclassified
CMX,CHEMX Materials Ltd,33545803.0,ASX 300+,Unclassified
CNB,Carnaby Resources Ltd,176716713.0,ASX 300+,Group 3
CND,Condor Energy Ltd,12736893.0,ASX 300+,Unclassified
CNEW,Vaneck China New Economy ETF,97569483.0,ASX 300+,Group 3
CNJ,Conico Ltd,5867883.0,ASX 300+,Unclassified
CNQ,Clean TEQ Water Ltd,48213580.0,ASX 300+,Unclassified
COB,Cobalt Blue Holdings Ltd,44647326.0,ASX 300+,Unclassified
COD,Coda Minerals Ltd,48645394.0,ASX 300+,Unclassified
COG,COG Financial Services Ltd,314577752.0,ASX 300+,Group 2
COI,Comet Ridge Ltd,155537034.0,ASX 300+,Group 3
COMP,Betashares Bloomberg Ausbond Composite ETF,5504400.0,ASX 300+,Unclassified
CORE,Schroder Global Core Fund - Active ETF,39420247.0,ASX 300+,Unclassified
COS,Cosol Ltd,39127591.0,ASX 300+,Unclassified
COV,Cleo Diagnostics Ltd,71298284.0,ASX 300+,Group 3
COY,Coppermoly Ltd,3530630.0,ASX 300+,Unclassified
CP8,Canadian Phosphate Ltd,60683092.0,ASX 300+,Group 3
CP8R,Canadian Phosphate Ltd,520141.0,ASX 300+,Unclassified
CPM,Cooper Metals Ltd,6170507.0,ASX 300+,Unclassified
CPN,Caspin Resources Ltd,26831333.0,ASX 300+,Unclassified
CPO,Culpeo Minerals Ltd,8727284.0,ASX 300+,Unclassified
CPPR,ETFs Global Pure Play Copper Miners ETF,1010000.0,ASX 300+,Unclassified
CPV,Clearvue Technologies Ltd,49164933.0,ASX 300+,Unclassified
CQT,Conneqt Health Ltd,18018949.0,ASX 300+,Unclassified
CR1,Constellation Resources Ltd,13667056.0,ASX 300+,Unclassified
CR3,Core Energy Minerals Ltd,5698821.0,ASX 300+,Unclassified
CR9,Corella Resources Ltd,15904398.0,ASX 300+,Unclassified
CRB,Carbine Resources Ltd,14302388.0,ASX 300+,Unclassified
CRD,Conrad Asia Energy Ltd,97775002.0,ASX 300+,Group 3
R3AL,Clearbridge Real Income Fund - Active ETF,464240000.0,ASX 300+,Group 2
JIN,Jumbo Interactive Ltd,462940000.0,ASX 300+,Group 2
PE1,Pengana Private Equity Trust,460130000.0,ASX 300+,Group 2
MMI,Metro Mining Ltd,459900000.0,ASX 300+,Group 2
AEL,Amplitude Energy Ltd,457320000.0,ASX 300+,Group 2
ESTX,Global X Euro STOXX 50 ETF,457250000.0,ASX 300+,Group 2
REV,Revolution Private Credit Income Trust,453320000.0,ASX 300+,Group 2
CDP,Carindale Property Trust,452570000.0,ASX 300+,Group 2
IESG,iShares Core MSCI Australia Esg ETF,452290000.0,ASX 300+,Group 2
L1IF,L1 Capital International (Unhedged) Active ETF,451270000.0,ASX 300+,Group 2
PIC,Perpetual Equity Investment Company Ltd,450760000.0,ASX 300+,Group 2
MEI,Meteoric Resources NL,450530000.0,ASX 300+,Group 2
BFG,Bell Financial Group Ltd,445830000.0,ASX 300+,Group 2
NMG,New Murchison Gold Ltd,445430000.0,ASX 300+,Group 2
VGL,Vista Group International Ltd,440290000.0,ASX 300+,Group 2
CGS,Cogstate Ltd,440000000.0,ASX 300+,Group 2
AFG,Australian Finance Group Ltd,437530000.0,ASX 300+,Group 2
29M,29METALS Ltd,437520000.0,ASX 300+,Group 2
AUC,Ausgold Ltd,435550000.0,ASX 300+,Group 2
SGQ,ST George Mining Ltd,434730000.0,ASX 300+,Group 2
OCA,Oceania Healthcare Ltd,434540000.0,ASX 300+,Group 2
INR,Ioneer Ltd,430450000.0,ASX 300+,Group 2
PMT,Pmet Resources Inc,428160000.0,ASX 300+,Group 2
TOK,Tolu Minerals Ltd,427620000.0,ASX 300+,Group 2
MYR,Myer Holdings Ltd,424030000.0,ASX 300+,Group 2
BTL,Beetaloo Energy Australia Ltd,421860000.0,ASX 300+,Group 2
F100,Betashares Ftse 100 ETF,420220000.0,ASX 300+,Group 2
ASUS,Ausbil Active Sustainable Equity Fund - Active ETF,419830000.0,ASX 300+,Group 2
RARI,Russell Investments Australian Responsible Investment ETF,417710000.0,ASX 300+,Group 2
AZY,Antipa Minerals Ltd,414350000.0,ASX 300+,Group 2
PFP,Propel Funeral Partners Ltd,413920000.0,ASX 300+,Group 2
KSC,K & S Corporation Ltd,413280000.0,ASX 300+,Group 2
SUNPI,Suncorp Group Ltd,411680000.0,ASX 300+,Group 2
BOQPG,Bank of Queensland Ltd,411600000.0,ASX 300+,Group 2
SPY,State Street SPDR S&P 500 ETF,410420000.0,ASX 300+,Group 2
GGUS,Betashares Geared US EQTY CCY Hedged Complex ETF,409460000.0,ASX 300+,Group 2
QMIX,State Street SPDR MSCI World Quality MIX ETF,407980000.0,ASX 300+,Group 2
EOL,Energy One Ltd,405320000.0,ASX 300+,Group 2
WXHG,State Street SPDR S&P World Ex Aus Carbon Aware (Hedged) ETF,404870000.0,ASX 300+,Group 2
MAET,Munro Global Growth Fund Complex ETF,402820000.0,ASX 300+,Group 2
RG8,Regal Asian Investments Ltd,401980000.0,ASX 300+,Group 2
SNAS,Global X Ultra Short Nasdaq 100 Complex ETF,61730000.0,ASX 300+,Group 3
BCA,Black Canyon Ltd,61620000.0,ASX 300+,Group 3
BIO,Biome Australia Ltd,61560000.0,ASX 300+,Group 3
KKO,Kinetiko Energy Ltd,61450000.0,ASX 300+,Group 3
